,State,County,FIPS,Year,Total_Chargers,Vehicles,VehiclesChevrolet,VehiclesChevrolet_pct,Total_Chargers_PM2,pclon10,pclat10
0,CT,Fairfield,9001,2016,128.0,2293,356.0,0.1552551242913214,0.20483605114500156,-73.364521,41.207889
1,CT,Fairfield,9001,2017,147.0,2690,441.0,0.16394052044609667,0.2352414024868377,-73.364521,41.207889
2,CT,Hartford,9003,2016,173.0,928,197.0,0.2122844827586207,0.2353421303224051,-72.717282,41.761943
3,CT,Hartford,9003,2017,183.0,1122,287.0,0.2557932263814617,0.248945721670521,-72.717282,41.761943
4,CT,Litchfield,9005,2016,9.0,228,59.0,0.25877192982456143,0.009776657686625534,-73.187494,41.727851
5,CT,Litchfield,9005,2017,10.0,283,74.0,0.2614840989399293,0.010862952985139479,-73.187494,41.727851
6,CT,Middlesex,9007,2016,48.0,240,80.0,0.3333333333333333,0.12997562956945571,-72.57140799999999,41.478564
7,CT,Middlesex,9007,2017,52.0,302,105.0,0.34768211920529807,0.14080693203357705,-72.57140799999999,41.478564
8,CT,New Haven,9009,2016,102.0,918,190.0,0.2069716775599129,0.16873170005458968,-72.941497,41.396052000000005
9,CT,New Haven,9009,2017,128.0,1073,274.0,0.255358807082945,0.21174174124497527,-72.941497,41.396052000000005
10,CT,New London,9011,2016,65.0,233,66.0,0.2832618025751073,0.09776200216580436,-72.09768299999999,41.443373
11,CT,New London,9011,2017,65.0,310,92.0,0.2967741935483871,0.09776200216580436,-72.09768299999999,41.443373
12,CT,Tolland,9013,2016,35.0,187,58.0,0.31016042780748665,0.08532215206845274,-72.37209,41.842762
13,CT,Tolland,9013,2017,42.0,247,81.0,0.3279352226720648,0.1023865824821433,-72.37209,41.842762
14,CT,Windham,9015,2016,18.0,103,54.0,0.5242718446601942,0.035093876118617306,-71.995072,41.804225
15,CT,Windham,9015,2017,20.0,124,61.0,0.4919354838709678,0.038993195687352565,-71.995072,41.804225
16,NJ,Atlantic,34001,2017,25.0,255,32.0,0.12549019607843134,0.04498830304120928,-74.58345200000001,39.427562
17,NJ,Atlantic,34001,2018,32.0,368,37.0,0.10054347826086957,0.05758502789274787,-74.58345200000001,39.427562
18,NJ,Atlantic,34001,2019,43.0,502,48.0,0.09561752988047807,0.07737988123087998,-74.58345200000001,39.427562
19,NJ,Atlantic,34001,2020,46.0,670,48.0,0.07164179104477612,0.08277847759582507,-74.58345200000001,39.427562
20,NJ,Bergen,34003,2017,41.0,3141,172.0,0.05475963069086278,0.17595811338569162,-74.057383,40.918799
21,NJ,Bergen,34003,2018,77.0,4200,215.0,0.05119047619047619,0.33045792026093296,-74.057383,40.918799
22,NJ,Bergen,34003,2019,136.0,4850,208.0,0.04288659793814433,0.5836659370842453,-74.057383,40.918799
23,NJ,Bergen,34003,2020,171.0,6274,223.0,0.03554351291042397,0.7338740826573967,-74.057383,40.918799
24,NJ,Burlington,34005,2017,8.0,657,111.0,0.1689497716894977,0.010017781562273034,-74.83426899999999,39.982667
25,NJ,Burlington,34005,2018,10.0,959,127.0,0.13242961418143903,0.012522226952841293,-74.83426899999999,39.982667
26,NJ,Burlington,34005,2019,36.0,1330,139.0,0.10451127819548872,0.04508001703022865,-74.83426899999999,39.982667
